url,category,title,author,description,date,place,date_from,date_to
/si74,DOCTRINE,ANGES ET DÉMONS (6),M. l’abbé M. SIMOULIN,Les phénomènes diaboliques. Série de 7 conférences.,16.10.1994 au 15.10.1995,Écône,,
/si75,DOCTRINE,ANGES ET DÉMONS (7),M. l’abbé M. SIMOULIN,Les sacramentaux. Série de 7 conférences.,16.10.1994 au 15.10.1995,Écône,,
/si76,DOCTRINE,LA FOI CATHOLIQUE : LES EFFETS DU BAPTÊME (1),M. l’abbé M. SIMOULIN,Série de 5 conférences.,15.10.1995,"Séminaire Inter. St Pie X, Écône",15.10.1995,
/si77,DOCTRINE,LA FOI CATHOLIQUE : LES EFFETS DU BAPTÊME (2),M. l’abbé M. SIMOULIN,Série de 5 conférences.,19.11.1995,"Séminaire Inter. St Pie X, Écône",19.11.1995,
/si78,DOCTRINE,LA FOI CATHOLIQUE : LES EFFETS DU BAPTÊME (3),M. l’abbé M. SIMOULIN,Série de 5 conférences.,20.01.1996,"Séminaire Inter. St Pie X, Écône",20.01.1996,
/si79,DOCTRINE,LA FOI CATHOLIQUE : LES EFFETS DU BAPTÊME (4),M. l’abbé M. SIMOULIN,Série de 5 conférences.,17.02.1993,"Séminaire Inter. St Pie X, Écône",17.02.1993,
/si80,DOCTRINE,LA FOI CATHOLIQUE : LES EFFETS DU BAPTÊME (5),M. l’abbé M. SIMOULIN,Série de 5 conférences.,17.03.1993,"Séminaire Inter. St Pie X, Écône",17.03.1993,
/si42,DOCTRINE,LA GRÂCE,M. l’abbé M. SIMOULIN,,10.03.1991,Écône,10.03.1991,
/si43,DOCTRINE,LA GRÂCE ET LA LIBERTÉ,M. l’abbé M. SIMOULIN,,21.04.1991,Écône,21.04.1991,
/si38,DOCTRINE,LE PÉCHÉ ORIGINEL (N° 1 et 2),M. l’abbé M. SIMOULIN,,08.11 - 16.12.1990,"Séminaire Inter. St Pie X, Écône",08.11.1990,16.12.1990
/tho06,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé THOUVENOT,Retraite de Vie Chrétienne.,22 - 28.07.2006,Flavigny,22.07.2006,28.07.2006
/tho02,DOCTRINE,LA GRÂCE,M. l’abbé THOUVENOT,Retraite de vie Chrétienne. Conférence no 6.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/tis5,DOCTRINE,DOCTRINE DE L’ÉGLISE SUR l’OECUMÉNISME ET DISCOURS DE CONCLUSION,Mgr B. TISSIER DE MALLERAIS,IIIème Congrès théologique de sì sì no no.,21 - 24.04.1998,"Albano, Rome",21.04.1998,24.04.1998
/tou01,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne.,19.06.1994 - 07.1998 - 07.1999-2000,"Müllerhof, Pouilly-en-Auxois, Flavigny",19.06.1994,
/TOU12,DOCTRINE,LA CONFESSION,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne. Conférence no 7.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/tou02,DOCTRINE,LA CONFESSION – LA MESSE ET LA COMMUNION,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne.,19.06.1994 - 07.1998 - 07.1999-2000,"Müllerhof, Pouilly-en-Auxois, Flavigny",19.06.1994,
/tou06,DOCTRINE,LE PÉCHÉ ORIGINEL – LE COMBAT SPIRITUEL,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne.,19.06.1994 - 07.1998 - 07.1999-2000,"Müllerhof, Pouilly-en-Auxois, Flavigny",19.06.1994,
/tr57,DOCTRINE,DIEU ET LES PERFECTIONS DIVINES,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférences no 1 et 2.,22 - 27.07.2002,Flavigny,22.07.2002,27.07.2002
/tr36,DOCTRINE,INTRODUCTION - LE PÉCHÉ,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,26.07 - 01.08.1998,Pouilly-en-Auxois,26.07.1998,01.08.1998
/tr62,DOCTRINE,INTRODUCTION - LE PÉCHÉ,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférences no 1 - 3.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/tr75,DOCTRINE,INTRODUCTION À LA RETRAITE - LE PÉCHÉ,M. l’abbé P. TROADEC,Retraite de vie chrétienne. Conférence no 7.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/tr49,DOCTRINE,INTRODUCTION A LA RETRAITE - LE PURGATOIRE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 4.,22 - 28.07.2001,Flavigny,22.07.2001,28.07.2001
/tr44,DOCTRINE,LA CHARITÉ,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,18 - 24.07.1999,Flavigny,18.07.1999,24.07.1999
/tr32,DOCTRINE,LA CONFESSION,M. l’abbé P. TROADEC,,28.07 - 01.08.1997,Pouilly-en-Auxois,28.07.1997,01.08.1997
/tr86,DOCTRINE,LA CONFESSION - LE PRÊTRE - PRÉSENTATION DE LA SAINTETÉ SACERDOTALE,M. l’abbé P. TROADEC,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/tr50,DOCTRINE,LA CONFESSION – LA VERTU DE FOI,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférences no 6 - 8.,22 - 28.07.2001,Flavigny,22.07.2001,28.07.2001
/tr73,DOCTRINE,LA GRÂCE - LA MESSE DE TOUJOURS,M. l’abbé P. TROADEC,Retraite de la vie Chrétienne.,22 - 28.07.2006,Flavigny,22.07.2006,28.07.2006
/tr47,DOCTRINE,LA NOUVELLE ALLIANCE - LE SACRÉ-CŒUR,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,23 - 29.07.2000,Flavigny,23.07.2000,29.07.2000
/tr29,DOCTRINE,LA VIE SPIRITUELLE - LES TROIS AGES DE LA VIE SPIRITUELLE - VRAIE ET FAUSSE MYSTIQUE,M. l’abbé P. TROADEC,,09.03 et 06.04.1992,"Institut Universitaire St-Grégoire le Grand, Lyon",,
/tr38,DOCTRINE,LES VERTUS - L’HUMILITÉ,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,26.07 - 01.08.1998,Pouilly-en-Auxois,26.07.1998,01.08.1998
/tr53,DOCTRINE,QU'EST-CE QUE LA GRÂCE ?,M. l’abbé P. TROADEC,Retrait de vie Chrétienne. Conférence no 6.,22 - 27.07.2002,Flavigny,22.07.2002,27.07.2002
/ver5,DOCTRINE,LE MIRACLE DE L’ÉGLISE - CLOTURE DU COLLOQUE,M. l’abbé P. VERDET,"IIème Colloque de l’Institut Saint Grégoire le Grand. “2000 ans de christianisme, questions actuelles.",18.03.2000,"Institut St-Grégoire le Grand, Lyon",18.03.2000,
/ver1,DOCTRINE,LES 7 SACREMENTS,M. l’abbé P. VERDET,Série de 7 conférences.,20.10.1997 - 11.05.1998,"Institut St-Grégoire le Grand, Lyon",20.10.1997,11.05.1998
/BA15,ÉCRITURE SAINTE,ÉCRITURE SAINTE “NOTES – NOTICES – NOTULES” – PROPOS SUR L'ANCIEN ET LE NOUVEAU TESTAMENT,M. l’abbé J. BAYOT,Quatre conférences données à l’Institut Universitaire St Pie X.,10.01 - 09.05.1994,Paris,10.01.1994,09.05.1994
/baud08,ÉCRITURE SAINTE,L’ÉCRITURE SAINTE – CONCLUSION DE RETRAITE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/cou02,ÉCRITURE SAINTE,LES MANUSCRITS DE LA MER MORTE,M. E. COUVERT,,10.12.1990,"Institut Universitaire St-Grégoire le Grand, Lyon",10.12.1990,
/ELOI1,ÉCRITURE SAINTE,L’APOCALYPSE,Rév. père Éloi,Session d’étude.,12 - 17.07.1993,Flavigny,12.07.1993,17.07.1993
/EMM1,ÉCRITURE SAINTE,L’EXÉGÈSE,Rèv. Père Emmanuel-Marie,"Session de théologie
L’interprétation de la Bible dans l’Église.
Les tendances de l’exégèse moderne.",12 - 16.04.1994,Étoile du Matin,12.04.1994,16.04.1994
/MG1,ÉCRITURE SAINTE,PAUL CLAUDEL ET L’ÉCRITURE SAINTE,Mme MILLET-GERARD,,24.05.1993,"Institut Uni. St Pie X, Paris",24.05.1993,
/na1,ÉCRITURE SAINTE,L’APOCALYPSE DÉCHIFRÉE,M. l'abbé de Nantes,Nous trouvons cette étude sur l’Apocalypse bien adaptée à notre temps. Elle nous permet de mieux comprendre les événements actuels dans l’Église et dans le monde.,22 - 23 juin 1985,Josselin,,
/si40,ÉCRITURE SAINTE,LA LOI ANCIENNE,M. l’abbé M. SIMOULIN,,13.01.1991,Écône,13.01.1991,
/THO10,ÉCRITURE SAINTE,L’ÉCRITURE SAINTE,M. l’abbé THOUVENOT,Retraite de vie Chrétienne.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/TOU11,ÉCRITURE SAINTE,L’ÉCRITURE SAINTE,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne. Conférence no 5.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/tr67,ÉCRITURE SAINTE,INTRODUCTION - LE PSAUTIER ET LES COMPLIES DU DIMANCHE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 4.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/tr02,ÉCRITURE SAINTE,INTRODUCTION GENERALE À L’ÉCRITURE SAINTE,M. l’abbé P. TROADEC,2 conférences.,26.10.1992,"Instit. St-Grégoire le Grand, Lyon",26.10.1992,
/tr03,ÉCRITURE SAINTE,INTRODUCTION GÉNÉRALE A L’ÉCRITURE SAINTE,M. l’abbé P. TROADEC,,26.10.1992,"Institut St-Grégoire le Grand, Lyon",26.10.1992,
/tr46,ÉCRITURE SAINTE,L’ANCIENNE ALLIANCE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,23 - 29.07.2000,Flavigny,23.07.2000,29.07.2000
/tr12,ÉCRITURE SAINTE,LA MONTÉE VERS LE SACERDOCE DE LA NOUVELLE ALLIANCE.,M. l’abbé P. TROADEC,,23.01.1995,"Instit. St-Grégoire le Grand, Lyon",23.01.1995,
/tr04,ÉCRITURE SAINTE,"LES PROPHÈTES : ABRAHAM, CHAMPION DU MONOTHÉISME (1)",M. l’abbé P. TROADEC,"Série de 6 conférences
Les prophètes.",18.05.1993,"Institut Universitaire St-Grégoire le Grand, Lyon",18.05.1993,
/tr09,ÉCRITURE SAINTE,LES PROPHÈTES : ÉLIE (6),M. l’abbé P. TROADEC,"Série de 6 conférences
Les Prophètes.",14.12.1992,"Institut St-Grégoire le Grand, Lyon",14.12.1992,
/tr08,ÉCRITURE SAINTE,LES PROPHÈTES : ISAÏE (5),M. l’abbé P. TROADEC,"Série de 6 conférences
Les Prophètes.",14.01.1993,"Institut Universitaire St-Grégoire le Grand, Lyon",14.01.1993,
/tr06,ÉCRITURE SAINTE,LES PROPHÈTES : LE SAINT HOMME JOB (3),M. l’abbé P. TROADEC,"Série de 6 conférences
Les prophètes.",13.03.1993,"Institut Universitaire St-Grégoire le Grand, Lyon",13.03.1993,
/tr07,ÉCRITURE SAINTE,LES PROPHÈTES : LES PSAUMES (4),M. l’abbé P. TROADEC,"Série de 6 conférences
Les Prophètes.",12.02.1993,"Institut Universitaire St-Grégoire le Grand, Lyon",12.02.1993,
/tr05,ÉCRITURE SAINTE,"LES PROPHÈTES : MOÏSE, LE PLUS GRAND DES PROPHÈTES (2)",M. l’abbé P. TROADEC,"Série de 6 conférences
Les prophètes.",10.04.1993,"Institut Universitaire St-Grégoire le Grand, Lyon",10.04.1993,
/tr37,ÉCRITURE SAINTE,PSAUMES DES COMPLIES ET DES VÊPRES DU DIMANCHE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,26.07 - 01.08.1998,Pouilly-en-Auxois,26.07.1998,01.08.1998
/tr11,ÉCRITURE SAINTE,SACERDOCE ET SACRIFICE DANS L’ANCIEN TESTAMENT,M. l’abbé P. TROADEC,,11 - 12.12.1994,"Instit. St-Grégoire le Grand, Lyon",11.12.1994,12.12.1994
/v05,ÉCRITURE SAINTE,AUTHENTICITÉ DES ÉVANGILES : À QUI APPARTIENT LE CHRIST ?,M. le prof. D. VIAIN,Il démontre les attaques modernistes contre les Évangiles.,28.01.1991,"Institut Universitaire St-Pie X, Paris",28.01.1991,
/V13,ÉCRITURE SAINTE,LA BIBLE AU RISQUE DE LA SCIENCE ? CONCLUSION DU COLLOQUE,M. le prof. D. VIAIN,"IIIème Colloques de l’Institut Saint Grégoire le Grand. “2000 ans de christianisme, questions actuelles.",18.03.2000,"Institut St-Grégoire le Grand, Lyon",18.03.2000,
/v02,ÉCRITURE SAINTE,LA BIBLE CETTE INCONNUE,M. le prof. D. VIAIN,"Après avoir écouté cette conférence, la Bible ne sera plus une inconnue pour nous. Ce professeur de grec et d’hébreu nous captive littéralement.",05.10.1991,Sion,05.10.1991,
/v03,ÉCRITURE SAINTE,UN CATHOLIQUE PEUT-IL LIRE LA BIBLE ?,M. le prof. D. VIAIN,Le brillant conférencier y répond magistralement.,26.11.1990,Paris,26.11.1990,
/baud03,ÉDUCATION,L’ÉDUCATION CHRÉTIENNE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,1999 - 2005,Flavigny,,31.12.2005
/baud04,ÉDUCATION,LES ÉCOLES CHRÉTIENNES,M. l’abbé BAUDOT,Retraite de vie chrétienne.,1999 - 2000,Flavigny,,31.12.2000
/BEA1,ÉDUCATION,LITTERATURE... ET SECTES,Mme F. BEAUCOUDRAY,Les filières et les méthodes des sectes dans la littérature destinée aux enfants et aux adolescents. Nous recommandons vivement aux parents cette conférence.,10.11.1997,"Institut Universitaire St-Grégoire le Grand, Lyon",10.11.1997,
/BE2,ÉDUCATION,L’ÉGLISE ET L’ÉDUCATION,M. R. BERTHOD,D’après le livre de Jean de Viguerie,23.11.2002,Sion,23.11.2002,
/BED1,ÉDUCATION,LE LATIN CHRÉTIEN DANS L’ENSEIGNEMENT EN FRANCE,M. G. BEDEL,,16.12.1996,"Institut Universitaire St-Grégoire le Grand, Lyon",16.12.1996,
/BOUB1,ÉDUCATION,"ENFANTS AUJOURD’HUI, ROBOTS DEMAIN !",M. l’abbé BOUBEE,La destruction de l’intelligence dans l’enseignement moderne et ses conséquences.,01.06.1999,Bruxelles,01.06.1999,
/BOUB3,ÉDUCATION,L’ADOLESCENT : ENFANT REBELLE OU FUTUR ADULTE ?,M. l’abbé BOUBEE,,16.10.2000,Bruxelles,16.10.2000,
/BOUB2,ÉDUCATION,L’ENSEIGNEMENT AUJOURD’HUI : «L’ECHEC SCOLAIRE SE GÉNÉRALISE…»,M. l’abbé BOUBEE,"«L’échec scolaire se généralise, au point que dans les centres médico-psycho-pédagogiques on se plaint de devoir rééduquer des enfants intelligents que l’école casse par des méthodes aberrantes. » (L. Lurcat, enseignante et chercheur au CNRS in : La destruction de l’enseignement élémentaire) F.-X. de Guilbert, 1998.",16.12.1998,Saint-Étienne,16.12.1998,
/bour03,ÉDUCATION,LES ÉCOLES CATHOLIQUES,M. l’abbé BOURRAT,Retraite de vie chrétienne.,25 - 30.07.2003,Flavigny,25.07.2003,30.07.2003
/BOUR17,ÉDUCATION,LES ÉCOLES CATHOLIQUES – CONCLUSION DE RETRAITE,M. l’abbé BOURRAT,Retraite de vie chrétienne.,21 - 27.07.2008,Flavigny,21.07.2008,27.07.2008
/CAC1,ÉDUCATION,LA SOCIÉTÉ ÉDUCATRICE FACE A LA RÉVOLUTION,M. l’abbé DE CACQUERAY,"4ème Congrès théologique de sì sì no no
Bilan et perspectives pour une vraie restauration de l’Église.",03 - 05.08.200,Rome,03.08.200,05.08.200
/lo13,ÉDUCATION,L’EDUCATION DES JEUNES FILLES,M. l’abbe A. LORANS,,05.04.1991,Pouilly-en-Auxois,05.04.1991,
/lo42,ÉDUCATION,L’ORDINATEUR À L’ÉCOLE,M. l’abbé A. LORANS,,,Saint Étienne,,
/lo38,ÉDUCATION,LA CRISE DE L’ENSEIGNEMENT : ENTRE PÉDAGOGIE ET DÉMAGOGIE,M. l’abbe A. LORANS,,21.02.1998,Sion,21.02.1998,
/lo33,ÉDUCATION,PEUT-ON ENCORE ÉDUQUER LES ENFANTS AUJOURD’HUI ?,M. l’abbé A. LORANS,,,Sion,,
/lov12,ÉDUCATION,L'ÉDUCATION CHRÉTIENNE (2) - LE MARIAGE : P ARTICIPATION AU GOUVERNEMENT DIVIN,M. l’abbé Ph. LOVEY,Série de 3 conférences.,01.03.1992,"Séminaire Inter. St Pie X, Écône",01.03.1992,
/lov11,ÉDUCATION,L’ÉDUCATION CHRÉTIENNE (1) - FORMER NOTRE-SEIGNEUR DANS L’ÂME DES ENFANTS,M. l’abbé Ph. LOVEY,Série de 3 conférences.,04.11.1991,Sion,04.11.1991,
/lov13,ÉDUCATION,L’ÉDUCATION CHRÉTIENNE (3) - L’AUTORITÉ,M. l’abbé Ph. LOVEY,Série de 3 conférences.,20.06.1992,"Séminaire Inter. St Pie X, Écône",20.06.1992,
/ROU2,ÉDUCATION,L'ÉDUCATION SELON SAINT JEAN BOSCO,M. l’abbé D. ROUSSEAU,Session d’étude.,25.06.1996,"Lauzon, Canada",25.06.1996,
/rs20,ÉDUCATION,L'MPORTANCE DES ÉCOLES CATHOLIQUES,Retraite spirituelle 2015,"Retraite de vie chrétienne,
par M. l’abbé l’abbé Baudot.",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/THO16,ÉDUCATION,L’AUTORITÉ DANS L’ÉDUCATION,M. l’abbé THOUVENOT,,,,,
/tis11,ÉDUCATION,LA PLACE DE L’ÉCOLE DANS L’ŒUVRE DE RECONSTRUCTION D’UNE CHRÉTIENTÉ,Mgr B. TISSIER DE MALLERAIS,,19.06.1994,Müllerhof,19.06.1994,
/TOU16,ÉDUCATION,L’AUTORITÉ DANS L’ÉDUCATION,M. l’abbé Ph. TOULZA,L’AUTORITÉ DANS L’ÉDUCATION,,,,
/vig4,ÉDUCATION,LA RÉVOLUTION PÉDAGOGIQUE CONTEMPORAINE,M. J. de VIGUERIE,,23.02.1995,"Lauzon, Canada",23.02.1995,
/cou05,ERREURS FAUSSES RELIGIONS,LA GNOSE DANS LA LITTÉRATURE MODERNE,M. E. COUVERT,,15.03.1993,"Institut Universitaire St Grégoire le Grand, Lyon",15.03.1993,
/cou01,ERREURS FAUSSES RELIGIONS,"LA GNOSE, TUMEUR AU SEIN DE L’EGLISE",M. E. COUVERT,,19.03.1990,"Institut Universitaire St-Grégoire le Grand, Lyon",19.03.1990,
/COU10,ERREURS FAUSSES RELIGIONS,LE JANSÉNISME,M. E. COUVERT,,01.12.1997,"Institut Universitaire St Grégoire le Grand, Lyon",01.12.1997,
/cou03,ERREURS FAUSSES RELIGIONS,LES ORIGINES DU BOUDDHISME,M. E. COUVERT,,25.03.1991,"Institut Universitaire St-Grégoire le Grand, Lyon",25.03.1991,
/lo09,ERREURS FAUSSES RELIGIONS,LA SECTE DE LA SCIENTOLOGIE : Science ou fiction ?,M. l’abbe A. LORANS,,30.01.1981,"Institut Uni. St Pie X, Paris",30.01.1981,
/lo40,ERREURS FAUSSES RELIGIONS,LE BOUDDHISME,M. l’abbé A. LORANS,IIIème Congrès théologique de sì sì no no «L’Œcuménisme».,21 - 24.04.1998,"Albano, Rome",21.04.1998,24.04.1998
/RE3,ERREURS FAUSSES RELIGIONS,L’ILLUMINISME CHARISMATIQUE et MARTHE ROBIN : VRAIE OU FAUSSE MYSTIQUE ?,Mme M. REBOUL,Cette conférence apporte un éclairage intéressant sur ce sujet.,09.06.1994,Sion,09.06.1994,
/RE2,ERREURS FAUSSES RELIGIONS,LA SATANISATION DANS LE MONDE ACTUEL,Mme M. REBOUL,,10.06.1994,Sion,10.06.1994,
/RE1,ERREURS FAUSSES RELIGIONS,LES SECTES OU LA SPIRITUALITÉ CARICATURÉE,Mme M. REBOUL,,25.04.1993,Sion,25.04.1993,
/ros6,ERREURS FAUSSES RELIGIONS,À L’INTÉRIEUR DU NOUVEL-ÂGE,M. l’abbé K. ROSCOE,,06.12.1993,"Lauzon, Canada",06.12.1993,
/verl1,ERREURS FAUSSES RELIGIONS,"YOGA, MÉDITATION TRANSCENDANTALE, HINDOUISME, BOUDDHISME, RADIESTHÉSIE, PENDULE, POUVOIR DE GUÉRISON, DE VOYANCE, MAGIE, MÉDIUMNISME, OCCULTISME, SPIRITISME.",Rév. père VERLINDE,Le père Vérlinde raconte son expérience. Un témoignage extrêmement précieux pour notre temps.,,,,
/a04,FAMILLE,LA MÈRE,M. l’abbé J.-P. ANDRÉ,"La mère de famille
La maternité et sa grandeur.
Le rôle social de la mère au foyer.
Le rôle publique de la femme.
La maternité spirituelle.
4 exemples de saintes mères.",1982 - 1983,"Séminaire International St Pie X, Écône",,31.12.1983
/baud02,FAMILLE,FEMME CHRÉTIENNE – FEMME MONDAINE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,1999 - 2000,Flavigny,,31.12.2000
/BAUD15,FAMILLE,FEMME CHRÉTIENNE OU FEMME MONDAINE,M. l’abbé BAUDOT,Retraite de vie chrétienne.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/beau03,FAMILLE,FEMME CHRÉTIENNE OU FEMME MONDAINE – NOTRE-DAME CAUSE DE NOTRE JOIE,M. l’abbé BEAUBLAT,Retraite de vie chrétienne.,2000 - 2005,Flavigny,,31.12.2005
/CLI1,FAMILLE,LA FAMILLE : ÉCOLE DE VIE ET DE VERTU,M. l’abbé M. CLIFTON,,19.03.1998,Sion,19.03.1998,
/jj18,FAMILLE,L’OFFICE DES COMPLIES – LE MARIAGE,Rév. père Jean-Joseph,Retraite de vie chrétienne.,18 - 24.07.2009,Flavigny,18.07.2009,24.07.2009
/OLI1,FAMILLE,LA PATERNITÉ DÉVALUÉE ET LES CONSÉQUENCES DE L’ÉDUCATION PERMISSIVE,Prof. J.-M. Olivereau,Professeur honoraire aux Universités de Paris. Spécialiste des facteurs neuropsychologiques et des problèmes de société dans une optique prospective.,07.06.2006,Sion,07.06.2006,
/piv3,FAMILLE,LE MARIAGE,M. l'abbé F. PIVERT,Session de théologie.,12 - 16.04.1994,Étoile du Matin,12.04.1994,16.04.1994
/quil3,FAMILLE,FÉMINISME ET DIGNITÉ DE L A FEMME,M. l'abbé V . QUILTON,,24.02.2002,Monthey,24.02.2002,
/rs13,FAMILLE,FEMME CHRÉTIENNE OU FEMME MONDAINE,Retraite spirituelle 2015,"Retraite de vie chrétienne,
Par M. l’abbé Baudot.",25 - 31.07.2015,Flavigny,25.07.2015,31.07.2015
/tho04,FAMILLE,FEMME CHRÉTIENNE OU FEMME MONDAINE,M. l’abbé THOUVENOT,Retraite de vie Chrétienne. Conférence no 14.,25 - 30.07.2004,Flavigny,25.07.2004,30.07.2004
/THO13,FAMILLE,L’ÉPOUSE ET LA MÈRE CHRÉTIENNE,M. l’abbé THOUVENOT,,22 - 27.07.2007,Flavigny,22.07.2007,27.07.2007
/tou03,FAMILLE,FEMME CHRÉTIENNE OU FEMME MONDAINE,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne.,19.06.1994 - 07.1998 - 07.1999-2000,"Müllerhof, Pouilly-en-Auxois, Flavigny",19.06.1994,
/TOU13,FAMILLE,L’ÉPOUSE ET LA MÈRE,M. l’abbé Ph. TOULZA,Retraite de vie Chrétienne. Conférence no 10.,25-30.07.2004,Flavigny,25.07.2004,30.07.2004
/tr55,FAMILLE,FEMME CHRÉTIENNE ET FEMME MONDAINE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 14.,22 - 27.07.2002,Flavigny,22.07.2002,27.07.2002
/tr60,FAMILLE,L’ÉPOUSE ET LA MÈRE,M. l’abbé P. TROADEC,Retraite de la vie Chrétienne. Conférence no 14.,20 - 25.07.2003,Flavigny,20.07.2003,25.07.2003
/tr77,FAMILLE,L’ÉPOUSE ET LA MÈRE,M. l’abbé P. TROADEC,Retraite de vie chrétienne. Conférence no 12.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/tr79,FAMILLE,LA FEMME CATHOLIQUE DANS LE MONDE,M. l’abbé P. TROADEC,Retraite de vie chrétienne. Conférence no 15.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/tr61,FAMILLE,LA FEMME CATHOLIQUE DANS LE MONDE MODERNE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 18.,20 - 25.07.2003,Flavigny,20.07.2003,25.07.2003
/tr58,FAMILLE,LA FEMME CATHOLIQUE DANS SES RAPPORTS INTIMES AVEC DIEU,M. l’abbé P. TROADEC,Retraite de vie chrétienne. Conférence no 7.,22 - 27.07.2002,Flavigny,22.07.2002,27.07.2002
/tr76,FAMILLE,LA FEMME CATHOLIQUE DANS SES RAPPORTS INTIMES AVEC DIEU,M. l’abbé P. TROADEC,Retraite de vie chrétienne. Conférence no 7.,21.27.07.2007,Flavigny,,
/tr48,FAMILLE,LE CHEF DE FAMILLE,M. l’abbé P. TROADEC,Retraite de vie Chrétienne.,23 - 29.07.2000,Flavigny,23.07.2000,29.07.2000
/tr41,FAMILLE,LE MARIAGE CHRÉTIEN,M. l’abbé P. TROADEC,"Retraite de vie chrétienne
Le rôle de la femme et ce que chaque conjoint doit savoir de l’autre.",26.07 - 01.08.1998,Pouilly-en-Auxois,26.07.1998,01.08.1998
/tr71,FAMILLE,LE RÔLE DE LA FEMME DANS LA GENÈSE D’UNE VOCATION,M. l’abbé P. TROADEC,Retraite de vie Chrétienne. Conférence no 18.,23 - 29.07.2005,Flavigny,23.07.2005,29.07.2005
/tr78,FAMILLE,RÔLE DE LA FEMME DANS LA GENÈSE D’UNE VOCATION,M. l’abbé P. TROADEC,Retraite de la vie chrétienne. Conférence no 14.,21 - 27.07.2007,Flavigny,21.07.2007,27.07.2007
/ASCE1,HISTOIRE,ASCENSION - 400ème ANNIVERSAIRE DE LA CONTRE-RÉFORME EN VALAIS,Rév. père Jean,"Messe et homélie par le révérend père Jean, capucin de Morgon.",29.05.2013,Sion,29.05.2013,
/AUG1,HISTOIRE,DONOSO CORTES,M. G. AUGE,"Sa vie, son œuvre et son esprit.",12.04.1984,"Institut Universitaire St Pie X, Paris",12.04.1984,
/ba01,HISTOIRE,PARADOXES SUR LA TRADITION DE L'HISTOIRE,M. l’abbé J. BAYOT,Colloque de l’Institut Universitaire St Pie X.,08.12.1990,Paris,08.12.1990,
/BED2,HISTOIRE,LE GÉNÉRAL DE SONIS : LA FOI DU CENTURION,M. G. BEDEL,,14.12.1998,"Institut Universitaire St-Grégoire le Grand, Lyon",14.12.1998,
/BLET1,HISTOIRE,PIE XII ET LA SECONDE GUERRE MONDIALE,Rév. père P. BLET,"Colloque : Pie XII, Pape prophète.",20.03.1999,"Institut Universitaire St-Grégoire le Grand, Lyon",20.03.1999,
/BRC3,HISTOIRE,LA MÉCANIQUE DES JOURNÉES RÉVOLUTIONNAIRES,M. J.-P. BRANCOURT,“Cercle des études catholiques”,23.11.1994,Lauzon (Canada),23.11.1994,
/BRC1,HISTOIRE,LE MASSACRE DES CARMES de 1792,M. J. -P. BRANCOURT,De la peur à la terreur.,23.01.1989,"Institut Universitaire St Pie X, Paris",23.01.1989,
/BRC2,HISTOIRE,MAI 68 : PARIS - SORBONNE,M. J. -P. BRANCOURT,,23.11.1994,Lauzon (Canada),23.11.1994,
/BUSH1,HISTOIRE,LE MARTYRE DES SEIZE CARMÉLITES DE COMPIÈGNE SOUS LA TERREUR,M. W. BUSH,"Couronnement très chrétien du siècle des philosophes.
Du “Cercle d’études catholiques”",18.08.1993,Lauzon (Canada),18.08.1993,
